match_id,venue,innings,batting_team,bowling_team,striker,ball,runs
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,22,49
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,4,0
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,12,12
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,CL White,2,1
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,JH Kallis,7,9
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,MV Boucher,3,1
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,R Dravid,3,2
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,V Kohli,5,5
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,W Jaffer,18,8
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,MEK Hussey,12,14
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,ML Hayden,15,23
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,PA Patel,11,16
335983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,JR Hopes,18,38
335983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,K Goel,20,25
335984,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,M Kaif,6,2
335984,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,SR Watson,13,20
335984,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,T Kohli,13,8
335984,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,YK Pathan,5,10
335984,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,G Gambhir,21,31
335984,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,S Dhawan,13,12
335984,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,V Sehwag,4,12
335985,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,DJ Thornely,6,5
335985,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,L Ronchi,10,8
335985,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,PR Shah,1,0
335985,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,RV Uthappa,4,4
335985,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,ST Jayasuriya,17,30
335985,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,LRPL Taylor,2,2
335985,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,R Dravid,23,21
335985,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,S Chanderpaul,12,17
335986,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,A Symonds,2,0
335986,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,AC Gilchrist,17,23
335986,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,VVS Laxman,6,0
335986,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,Y Venugopal Rao,14,16
335986,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,BB McCullum,5,5
335986,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,DJ Hussey,6,2
335986,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,RT Ponting,1,0
335986,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,SC Ganguly,7,5
335986,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,WP Saha,17,14
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,JR Hopes,9,9
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,K Goel,21,26
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,KC Sangakkara,6,19
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,DS Lehmann,3,5
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,Kamran Akmal,10,17
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,M Kaif,8,6
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,SR Watson,15,17
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,YK Pathan,6,8
335988,Rajiv Gandhi International Stadium,1,Deccan Chargers,Delhi Daredevils,A Symonds,5,2
335988,Rajiv Gandhi International Stadium,1,Deccan Chargers,Delhi Daredevils,AC Gilchrist,9,9
335988,Rajiv Gandhi International Stadium,1,Deccan Chargers,Delhi Daredevils,VVS Laxman,6,2
335988,Rajiv Gandhi International Stadium,1,Deccan Chargers,Delhi Daredevils,Y Venugopal Rao,16,12
335988,Rajiv Gandhi International Stadium,2,Delhi Daredevils,Deccan Chargers,G Gambhir,9,12
