striker,bowler,runs,balls
A Ashish Reddy,A Nehra,6,5
A Ashish Reddy,J Botha,0,2
A Chopra,DP Vijaykumar,1,5
A Chopra,DW Steyn,1,4
A Chopra,GD McGrath,2,4
A Chopra,Harmeet Singh,5,5
A Chopra,PJ Sangwan,7,10
A Chopra,RP Singh,5,2
A Chopra,SM Pollock,1,4
A Chopra,VY Mahesh,5,4
A Chopra,WPUJC Vaas,1,2
A Chopra,Z Khan,1,1
A Flintoff,DJ Bravo,14,7
A Flintoff,SL Malinga,6,4
A Flintoff,Z Khan,1,4
A Mishra,MM Sharma,0,1
A Mishra,R Ashwin,1,4
A Mukund,A Chandila,1,1
A Mukund,JP Faulkner,4,7
A Mukund,S Sreesanth,1,1
A Mukund,SR Watson,9,7
A Symonds,A Mishra,1,3
A Symonds,AB Dinda,0,2
A Symonds,AP Dole,1,1
A Symonds,Bipul Sharma,0,1
A Symonds,DJ Bravo,0,1
A Symonds,I Sharma,1,2
A Symonds,JH Kallis,5,4
A Symonds,M Morkel,4,6
A Symonds,M Muralitharan,1,6
A Symonds,MM Patel,11,5
A Symonds,Mohammad Asif,2,5
A Symonds,P Kumar,2,8
A Symonds,PP Chawla,1,3
A Symonds,R Ashwin,0,1
A Symonds,R Vinay Kumar,7,5
A Symonds,RR Powar,6,3
A Symonds,S Ladda,0,1
A Symonds,S Narwal,13,6
A Symonds,S Sreesanth,1,2
A Symonds,SJ Srivastava,5,3
A Symonds,SL Malinga,2,6
A Symonds,SR Watson,11,8
A Symonds,SW Tait,2,3
A Symonds,Z Khan,1,1
AA Bilakhia,A Nehra,13,13
AA Bilakhia,DP Nannes,6,7
AA Bilakhia,PJ Sangwan,3,5
AA Bilakhia,SM Harwood,0,1
AA Bilakhia,TM Dilshan,1,2
AA Bilakhia,V Sehwag,1,1
AA Bilakhia,YK Pathan,1,4
AA Jhunjhunwala,A Mishra,2,3
AA Jhunjhunwala,AB McDonald,1,2
AA Jhunjhunwala,AD Mathews,1,1
AA Jhunjhunwala,AG Murtaza,1,3
AA Jhunjhunwala,DS Kulkarni,13,11
AA Jhunjhunwala,MF Maharoof,0,1
AA Jhunjhunwala,MM Patel,4,2
AA Jhunjhunwala,Pankaj Singh,5,3
AA Jhunjhunwala,R Vinay Kumar,1,5
AA Jhunjhunwala,SL Malinga,3,5
AB Agarkar,SR Watson,8,7
AB Agarkar,Sohail Tanvir,14,8
AB Barath,Harbhajan Singh,13,7
AB Barath,R McLaren,1,3
AB Barath,SL Malinga,4,2
AB Barath,Z Khan,1,2
AB McDonald,DAJ Bracewell,6,5
AB McDonald,IK Pathan,19,7
AB McDonald,M Morkel,4,3
AB McDonald,UT Yadav,2,4
AB de Villiers,A Flintoff,2,2
AB de Villiers,A Nehra,38,19
AB de Villiers,A Nortje,4,4
AB de Villiers,A Singh,1,2
AB de Villiers,AB Dinda,1,1
AB de Villiers,AD Mascarenhas,3,5
AB de Villiers,AG Murtaza,2,3
AB de Villiers,AJ Tye,0,2
AB de Villiers,AS Rajpoot,7,3
AB de Villiers,Ankit Sharma,6,3
AB de Villiers,B Akhil,1,1
AB de Villiers,B Kumar,12,8
AB de Villiers,B Laughlin,5,3
AB de Villiers,B Lee,5,3
AB de Villiers,BA Stokes,2,4
AB de Villiers,Basil Thampi,0,1
AB de Villiers,CH Morris,27,16
AB de Villiers,CR Woakes,6,4
AB de Villiers,DE Bollinger,9,4
AB de Villiers,DJ Bravo,17,12
AB de Villiers,DL Chahar,9,11
AB de Villiers,DS Kulkarni,25,19
AB de Villiers,DT Christian,1,2
AB de Villiers,DW Steyn,3,1
AB de Villiers,GB Hogg,1,1
AB de Villiers,HV Patel,10,6
AB de Villiers,Harbhajan Singh,21,8
AB de Villiers,I Sharma,16,19
AB de Villiers,IC Pandey,16,10
AB de Villiers,IK Pathan,9,14
AB de Villiers,J Suchith,9,5
AB de Villiers,JA Morkel,14,12
AB de Villiers,JC Archer,14,6
AB de Villiers,JD Unadkat,9,11
AB de Villiers,JH Kallis,19,19
AB de Villiers,JJ Bumrah,9,18
AB de Villiers,JO Holder,0,3
AB de Villiers,JP Behrendorff,3,2
AB de Villiers,JP Faulkner,24,10
AB de Villiers,K Gowtham,1,1
AB de Villiers,K Rabada,3,4
AB de Villiers,KA Pollard,1,2
AB de Villiers,KH Pandya,1,1
AB de Villiers,KK Ahmed,1,1
AB de Villiers,KW Richardson,0,1
AB de Villiers,Kamran Khan,5,6
AB de Villiers,L Balaji,2,3
AB de Villiers,LH Ferguson,1,3
AB de Villiers,M Ashwin,1,2
AB de Villiers,M Morkel,1,1
AB de Villiers,MC Henriques,0,1
AB de Villiers,MG Johnson,5,4
AB de Villiers,MJ McClenaghan,20,13
AB de Villiers,MM Patel,12,7
AB de Villiers,MM Sharma,6,3
AB de Villiers,MS Gony,8,4
AB de Villiers,Mohammad Nabi,1,2
AB de Villiers,Mohammed Shami,19,12
AB de Villiers,Mujeeb Ur Rahman,0,1
AB de Villiers,Mustafizur Rahman,3,6
AB de Villiers,NLTC Perera,1,1
AB de Villiers,NM Coulter-Nile,4,2
AB de Villiers,P Awana,3,2
AB de Villiers,P Kumar,13,8
AB de Villiers,PP Chawla,1,4
AB de Villiers,PP Ojha,1,1
AB de Villiers,PV Tambe,11,5
AB de Villiers,Pankaj Singh,1,2
AB de Villiers,R Ashwin,3,6
AB de Villiers,R Dhawan,8,5
AB de Villiers,R Vinay Kumar,5,7
AB de Villiers,RA Jadeja,2,2
AB de Villiers,RG Sharma,6,5
AB de Villiers,RP Singh,1,3
AB de Villiers,Ravi Bishnoi,8,5
AB de Villiers,S Gopal,0,1
AB de Villiers,S Kaul,4,3
AB de Villiers,S Kaushik,7,2
AB de Villiers,S Lamichhane,0,2
AB de Villiers,S Nadeem,8,3
AB de Villiers,S Sreesanth,9,9
AB de Villiers,S Tyagi,0,1
AB de Villiers,SB Jakati,6,3
AB de Villiers,SJ Srivastava,7,5
AB de Villiers,SK Trivedi,4,4
AB de Villiers,SL Malinga,11,11
AB de Villiers,SM Pollock,3,9
AB de Villiers,SN Thakur,21,15
AB de Villiers,SP Narine,4,3
AB de Villiers,SR Watson,5,10
AB de Villiers,SS Cottrell,14,9
AB de Villiers,SW Tait,3,7
AB de Villiers,Sandeep Sharma,36,23
AB de Villiers,Shakib Al Hasan,16,9
AB de Villiers,Shoaib Ahmed,4,6
AB de Villiers,Shoaib Akhtar,4,9
AB de Villiers,T Natarajan,4,7
AB de Villiers,TA Boult,5,2
AB de Villiers,TG Southee,7,9
AB de Villiers,UT Yadav,4,5
AB de Villiers,VR Aaron,12,7
AB de Villiers,WPUJC Vaas,5,5
AB de Villiers,Z Khan,24,17
AC Blizzard,AB Agarkar,4,2
AC Blizzard,AC Thomas,5,4
AC Blizzard,B Lee,13,5
AC Blizzard,BA Bhatt,1,1
AC Blizzard,Bipul Sharma,2,2
AC Blizzard,CH Gayle,1,5
AC Blizzard,I Sharma,1,3
AC Blizzard,IK Pathan,1,7
AC Blizzard,Iqbal Abdulla,9,7
AC Blizzard,JP Duminy,4,4
AC Blizzard,M Morkel,30,13
AC Blizzard,P Kumar,12,7
AC Blizzard,S Aravind,0,1
AC Blizzard,SB Wagh,1,2
AC Blizzard,Shakib Al Hasan,10,5
AC Blizzard,YK Pathan,2,4
AC Blizzard,Z Khan,9,5
AC Gilchrist,A Chandila,3,6
AC Gilchrist,A Kumble,13,23
AC Gilchrist,A Mishra,6,5
AC Gilchrist,A Nehra,102,54
AC Gilchrist,A Singh,3,5
AC Gilchrist,AB Agarkar,24,10
AC Gilchrist,AB Dinda,33,31
AC Gilchrist,AC Thomas,1,3
AC Gilchrist,AD Mathews,10,8
AC Gilchrist,AP Dole,18,7
AC Gilchrist,AS Rajpoot,9,4
AC Gilchrist,Anand Rajan,11,7
AC Gilchrist,B Kumar,19,12
AC Gilchrist,B Lee,36,29
AC Gilchrist,BJ Hodge,4,3
AC Gilchrist,BW Hilfenhaus,6,9
AC Gilchrist,CH Gayle,1,3
AC Gilchrist,CK Langeveldt,17,14
AC Gilchrist,CRD Fernando,0,2
AC Gilchrist,DE Bollinger,11,13
AC Gilchrist,DJ Bravo,7,8
AC Gilchrist,DP Nannes,47,25
AC Gilchrist,DS Kulkarni,9,7
AC Gilchrist,DW Steyn,50,51
AC Gilchrist,GD McGrath,6,7
AC Gilchrist,GH Vihari,1,2
AC Gilchrist,Harbhajan Singh,20,22
AC Gilchrist,I Sharma,68,56
AC Gilchrist,IK Pathan,62,41
AC Gilchrist,Iqbal Abdulla,6,6
AC Gilchrist,J Botha,14,8
AC Gilchrist,JA Morkel,49,29
AC Gilchrist,JD Unadkat,3,5
AC Gilchrist,JH Kallis,44,33
AC Gilchrist,JP Duminy,4,4
AC Gilchrist,JP Faulkner,9,3
AC Gilchrist,L Balaji,41,30
AC Gilchrist,LR Shukla,9,4
AC Gilchrist,M Kartik,6,6
AC Gilchrist,M Morkel,37,38
AC Gilchrist,M Muralitharan,6,4
AC Gilchrist,M Ntini,25,12
AC Gilchrist,MC Henriques,8,5
AC Gilchrist,MM Patel,36,21
AC Gilchrist,MN Samuels,4,6
AC Gilchrist,MS Gony,10,15
AC Gilchrist,Mashrafe Mortaza,24,12
AC Gilchrist,Mohammad Asif,18,12
AC Gilchrist,NLTC Perera,18,9
AC Gilchrist,NM Coulter-Nile,5,7
AC Gilchrist,P Kumar,26,16
AC Gilchrist,PJ Sangwan,16,6
AC Gilchrist,PP Ojha,4,3
AC Gilchrist,R Ashwin,41,37
AC Gilchrist,R Sharma,1,3
AC Gilchrist,RE van der Merwe,1,1
AC Gilchrist,RP Singh,7,12
AC Gilchrist,RR Powar,1,6
AC Gilchrist,S Aravind,1,1
AC Gilchrist,S Kaul,6,3
AC Gilchrist,S Ladda,10,5
AC Gilchrist,S Narwal,1,3
AC Gilchrist,S Sreesanth,57,31
AC Gilchrist,S Tyagi,18,5
AC Gilchrist,SB Wagh,1,1
AC Gilchrist,SD Chitnis,12,6
AC Gilchrist,SE Bond,1,1
AC Gilchrist,SJ Srivastava,8,3
AC Gilchrist,SK Raina,0,1
AC Gilchrist,SK Trivedi,25,14
AC Gilchrist,SK Warne,11,4
AC Gilchrist,SL Malinga,36,30
AC Gilchrist,SM Harwood,4,5
AC Gilchrist,SM Pollock,5,3
AC Gilchrist,SMSM Senanayake,18,16
AC Gilchrist,SP Narine,6,8
AC Gilchrist,SR Watson,28,17
AC Gilchrist,ST Jayasuriya,9,4
AC Gilchrist,SW Tait,6,3
AC Gilchrist,Sohail Tanvir,20,12
AC Gilchrist,TG Southee,7,4
AC Gilchrist,TM Dilshan,2,4
AC Gilchrist,UT Yadav,0,1
AC Gilchrist,V Sehwag,24,6
AC Gilchrist,VRV Singh,15,9
AC Gilchrist,VS Malik,5,2
AC Gilchrist,WD Parnell,1,1
AC Gilchrist,Y Nagar,9,4
AC Gilchrist,YK Pathan,24,26
AC Gilchrist,Z Khan,35,27
AC Voges,A Mishra,1,1
AC Voges,MF Maharoof,1,3
AC Voges,UT Yadav,5,5
AD Hales,Avesh Khan,29,9
AD Hales,DJ Willey,1,1
AD Hales,DL Chahar,1,7
AD Hales,DS Kulkarni,10,6
AD Hales,GJ Maxwell,2,3
AD Hales,HV Patel,8,4
AD Hales,JC Archer,2,2
AD Hales,JD Unadkat,5,4
AD Hales,K Gowtham,3,6
AD Hales,LE Plunkett,6,4
AD Hales,MM Ali,2,3
AD Hales,Mohammed Siraj,7,3
AD Hales,SN Thakur,0,1
AD Hales,TA Boult,12,12
AD Hales,TG Southee,7,3
AD Hales,UT Yadav,17,8
AD Hales,YS Chahal,6,6
AD Mascarenhas,YA Abdulla,4,2
AD Mathews,AD Mascarenhas,0,2
AD Mathews,DE Bollinger,0,2
AD Mathews,Harbhajan Singh,1,2
AD Mathews,Jaskaran Singh,7,5
AD Mathews,R Ashwin,2,6
AD Nath,HF Gurney,3,5
AD Nath,JC Archer,0,1
AD Nath,JD Unadkat,1,2
AD Nath,M Prasidh Krishna,7,3
AD Nath,SP Narine,1,1
AD Russell,D Wiese,1,1
AD Russell,MC Henriques,0,1
AD Russell,VR Aaron,16,5
AD Russell,YS Chahal,6,3
AG Paunikar,AB Dinda,6,5
AG Paunikar,B Lee,10,11
AG Paunikar,DW Steyn,9,9
AG Paunikar,I Sharma,1,6
AG Paunikar,Iqbal Abdulla,2,4
AG Paunikar,JH Kallis,4,4
AG Paunikar,L Balaji,8,11
AG Paunikar,M Morkel,0,3
AG Paunikar,PP Ojha,11,4
AG Paunikar,R Vinay Kumar,0,1
AG Paunikar,Shakib Al Hasan,5,3
AJ Finch,A Chandila,11,5
AJ Finch,A Nehra,4,5
AJ Finch,A Nortje,9,6
AJ Finch,A Singh,1,2
AJ Finch,AB Dinda,11,4
AJ Finch,AB McDonald,1,3
AJ Finch,AD Russell,5,5
AJ Finch,AG Murtaza,5,6
AJ Finch,AN Ahmed,10,5
AJ Finch,AR Patel,1,2
AJ Finch,Anureet Singh,6,5
AJ Finch,Arshdeep Singh,2,4
AJ Finch,Avesh Khan,0,1
AJ Finch,Azhar Mahmood,18,10
AJ Finch,B Kumar,4,11
AJ Finch,B Lee,13,10
