match_id,venue,innings,batting_team,bowling_team,bowler,wicket_type,balls
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,AA Noffke,0,7
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,P Kumar,0,19
335982,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,Z Khan,1,12
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,AB Agarkar,1,6
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,AB Dinda,2,20
335982,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,I Sharma,1,12
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,B Lee,1,19
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,JR Hopes,0,6
335983,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,S Sreesanth,0,13
335983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,JDP Oram,0,18
335983,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,MS Gony,1,20
335984,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,B Geeves,1,12
335984,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,GD McGrath,1,19
335984,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,MF Maharoof,0,6
335984,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,MM Patel,0,18
335984,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,SK Trivedi,0,7
335984,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,SR Watson,1,13
335985,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,JH Kallis,0,7
335985,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,P Kumar,0,13
335985,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,Z Khan,3,18
335985,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,A Nehra,0,12
335985,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,DS Kulkarni,1,7
335985,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,SM Pollock,0,18
335986,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,AB Agarkar,0,6
335986,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,AB Dinda,1,19
335986,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,I Sharma,1,14
335986,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,RP Singh,1,12
335986,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,SB Styris,0,6
335986,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,WPUJC Vaas,2,18
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,MM Patel,1,18
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,SK Trivedi,0,6
335987,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,SR Watson,0,12
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,B Lee,1,20
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,JR Hopes,1,6
335987,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,S Sreesanth,1,16
335988,Rajiv Gandhi International Stadium,1,Deccan Chargers,Delhi Daredevils,GD McGrath,0,18
335988,Rajiv Gandhi International Stadium,1,Deccan Chargers,Delhi Daredevils,Mohammad Asif,2,18
335988,Rajiv Gandhi International Stadium,2,Delhi Daredevils,Deccan Chargers,RP Singh,1,19
335988,Rajiv Gandhi International Stadium,2,Delhi Daredevils,Deccan Chargers,WPUJC Vaas,0,18
335989,MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,A Nehra,1,20
335989,MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,DS Kulkarni,1,6
335989,MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,SM Pollock,0,13
335989,MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,JDP Oram,1,20
335989,MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,MS Gony,1,18
335990,Rajiv Gandhi International Stadium,1,Deccan Chargers,Rajasthan Royals,MM Patel,0,12
335990,Rajiv Gandhi International Stadium,1,Deccan Chargers,Rajasthan Royals,SR Watson,0,19
335990,Rajiv Gandhi International Stadium,1,Deccan Chargers,Rajasthan Royals,YK Pathan,2,6
335990,Rajiv Gandhi International Stadium,2,Rajasthan Royals,Deccan Chargers,PP Ojha,0,6
335990,Rajiv Gandhi International Stadium,2,Rajasthan Royals,Deccan Chargers,RP Singh,0,13
335990,Rajiv Gandhi International Stadium,2,Rajasthan Royals,Deccan Chargers,WPUJC Vaas,1,18
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,A Nehra,1,12
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,DS Kulkarni,0,7
335991,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,SM Pollock,0,19
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,B Lee,2,12
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,IK Pathan,0,14
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,S Sreesanth,0,6
335991,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,VRV Singh,0,6
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,MM Patel,0,6
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,SR Watson,2,18
335992,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,Sohail Tanvir,0,13
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,P Kumar,1,12
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,R Vinay Kumar,0,7
335992,M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,Z Khan,1,18
